,Title,Authors,Citation,Conference,Publisher,Journal,Date
49,CENGO: A Web-Based Serious Game to Increase the Programming Knowledge Levels of Computer Engineering Students,"Ulas Gulec, Murat Yilmaz, Alihan Dogus Yalcin, Rory V O’Connor, Paul M Clarke",4,European Conference on Software Process Improvement,Unknown,Unknown,2019
50,Towards a Role Playing Game for Exploring the Roles in Scrum to Improve Collaboration Problems,"Zulal Akarsu, Özgün Onat Metin, Deniz Gungor, Murat Yilmaz",4,25th European Conference on Software Process Improvement (EuroSPI 2018),"Springer, Cham",Unknown,2018
51,Adopting virtual reality as a medium for software development process education,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Rory V O'Connor, Paul Clarke",4,Unknown,Unknown,Unknown,2018
52,"Improving Social Aspects of the Software Development Process: Games, Gamification and Related Approaches J. UCS Special Issue","Murat Yilmaz, Rory V O’Connor, Manuel Mora",4,Unknown,Unknown,Journal of Universal Computer Science,2016
53,A Multivocal Literature Review of Function-as-a-Service (FaaS) Infrastructures and Implications for Software Developers,"Jake Grogan, Connor Mulready, James McDermott, Martynas Urbanavicius, Murat Yilmaz, Yalemisew Abgaz, Andrew McCarren, Silvana Togneri MacMahon, Vahid Garousi, Peter Elger, Paul Clarke",3,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2020
54,Software testing: a changing career,"Sean Cunningham, Jemil Gambo, Aidan Lawless, Declan Moore, Murat Yilmaz, Paul M Clarke, Rory V O’Connor",3,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2019
55,Towards a process management life-cycle model for graduation projects in computer engineering,"Murat Yilmaz, Faris Serdar Tasel, Ulas Gulec, Ugur Sopaoglu",3,Unknown,Public Library of Science,Plos one,2018
56,An ISO/IEC 12207 perspective on software development process adaptation,"Gerard Marks, Rory O'Connor, Murat Yilmaz, Paul Clarke",3,Unknown,ASQ,Software Quality Professional,2018
57,Gamifying the Onboarding Process for Novice Software Practitioners,"Mehmet Kosa, Murat Yilmaz",3,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2016
58,Understanding personality differences in software organizations using Keirsey Temperament Sorter,"Murat Yilmaz, Rory O'Connor",3,Unknown,IEEE,IET Software,2015
59,Towards a quest-based contextualization process for game-based learning,"Murat Yilmaz, Murat Saran, Rory O'Connor",3,8th European Conference on Games Based Learning (ECGBL2014),Academic Conferences and Publishing International,Unknown,2014
60,An approach for improving the social aspects of the software development process by using a game theoretic perspective: towards a theory of social productivity of software …,"Murat Yilmaz, Rory V O’Connor",3,6th International Conference on Software and Data Technologies,ICSOFT,Unknown,2011
61,"Visualization, Monitoring and Control Techniques for Use in Scrum Software Development: An Analytic Hierarchy Process Approach","Nesib Tekin, Mehmet Kosa, Murat Yilmaz, Paul Clarke, Vahid Garousi",2,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2020
62,Guest Editorial: Gamification and Persuasive Games for Software Engineering,"Murat Yilmaz, Rory V O'Connor, Ricardo Colomo-Palacios, Paul Clarke",2,Unknown,Inst Engineering Technology-IET,Unknown,2019
63,Observed Effects of Software Processes Change in Three Software Firms: Industrial Exploratory Case Study,Murat Yilmaz,2,Unknown,"Pamukkale Üniversitesi, Mühendislik Fakültesi",Pamukkale Üniversitesi Mühendislik Bilimleri Dergisi,2019
64,Simulacrum: Savas Kosullarinda Acil Tibbi Mudahale ve Ilk Yardim Simulasyonu,"M.A. Gulec,Ulas and Gozcu, Sedanur Dogan, Nesil Mesurhan, Murat Yilmaz, Veysi Isler, Mustafa Dinc",2,12th Turkish National Software Engineering Conference (UYMS 2018),Unknown,Unknown,2018
65,Virtual Reality-Based Daily Scrum Meetings.,Murat Yilmaz,2,Unknown,"Springer, Cham",Unknown,2018
66,PlaySAFe: Results from a Virtual Reality Study Using Digital Game-Based Learning for SAFe Agile Software Development,"Emer O’Farrell, Murat Yilmaz, Ulas Gulec, Paul Clarke",1,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2021
67,Agile Software Development–Do We Really Calculate the Costs? A Multivocal Literature Review,"Aidan Fogarty, Aaron Edgeworth, Oishin Smith, Michael Dowling, Murat Yilmaz, Silvana Togneri MacMahon, Paul Clarke",1,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2020
68,Using Adapted Version of Hoshin Matrix for Selection of Agile Software Development Processes,"Zulal Akarsu, Ozgun Onat Metin, Yasemin Yigit Kuru, Murat Yilmaz",1,12th Turkish National Software Engineering Conference (UYMS 2018),Unknown,Unknown,2018
69,An industrial case study to improve the onboaring process in software management (Yazılım Yönetiminde İşe Alıştırma Süreçlerinin İyileştirilmesi İçin Düşünülmüş Bir Endüstriyel …,"Murat Yilmaz, Ulaş Güleç, Rory O'Connor, Paul Clarke, Eray Tüzün",1,11th Turkish National Software Engineering Symposium (UYMS 2017),Unknown,Unknown,2017
70,Yazılım Geliştiren Organizasyonlar için Düşünülmüş Bir Kişilik Tipi Ölçüm Oyunu.,"Murat Yilmaz, Rory O'Connor",1,7th Turkish National Software Engineering Conference (UYMS 2013),Unknown,Unknown,2013
71,Applying virtual reality to teach the software development process to novice software engineers,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Paul M Clarke",Unknown,Unknown,Unknown,IET Software,2021
72,A Professional Career with Autism: Findings from a Literature Review in the Software Engineering Domain,"Emma Costello, Sara Kilbride, Zoe Milne, Paul Clarke, Murat Yilmaz, Silvana Togneri MacMahon",Unknown,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2021
73,To Work from Home (WFH) or Not to Work from Home? Lessons Learned by Software Engineers During the COVID-19 Pandemic,"Aifric Nolan, Rachel White, Mahjabeen Soomro, Boluwatife Comfort Dopamu, Murat Yilmaz, David Solan, Paul Clarke",Unknown,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2021
74,Managing the social aspects of software development ecosystems: An industrial case study on personality,"Zulal Akarsu, Murat Yilmaz",Unknown,Unknown,Unknown,Journal of Software: Evolution and Process,2020
75,Assessing Application Lifecycle Management (ALM) Potentials from an Industrial Perspective,"Zuleyha Akgun, Murat Yilmaz, Paul Clarke",Unknown,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2020
76,Coding vs presenting: a multicultural study on emotions,"Ricardo Colomo-Palacios, Cristina Casado-Lumbreras, José María Álvarez-Rodríguez, Murat Yilmaz",Unknown,Unknown,Emerald Publishing Limited,Information Technology & People,2020
77,Agile Software Development–Do We Really Calculate the Costs? A Multivocal,"Aidan Fogarty, Aaron Edgeworth, Oishin Smith, Michael Dowling, Murat Yilmaz, Silvana Togneri MacMahon, Paul Clarke",Unknown,Unknown,Springer Nature,"Systems, Software and Services Process Improvement: 27th European Conference, EuroSPI 2020, Düsseldorf, Germany, September 9-11, 2020, Proceedings",2020
78,Anti-Social: Bireylerin Sosyal Medya Bağımlılığını Azaltmak Amacıyla Düşünülmüş Bir Ciddi Oyun,"Ulaş Güleç, Murat Yılmaz, Can Koral Adalı, Veysi İşler",Unknown,13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),Unknown,Unknown,2019
79,Yazılım Uzmanları için Tasarlanmış Dijital Olmayan İş Birliği Oyunu,"Hazal Ipek Kahraman, Yasemin Bekturk, Irmak Angun, Yasemin Yigit Kuru, Murat Yilmaz",Unknown,13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),Unknown,Unknown,2019
80,Adopting Augmented Reality for the Purpose of Software Development Process Training and Improvement: An Exploration,"İpek Ohri, İrem Öge, Bora Orkun, Murat Yilmaz, Eray Tuzun, Paul Clarke, Rory V O’Connor",Unknown,25th European Conference on Software Process Improvement (EuroSPI 2018),"Springer, Cham",Unknown,2018
81,Serious game plug-in experience for devops,"Çağdaş Üsfekes, Yagup Macit, Murat Yilmaz, Eray Tüzün",Unknown,Unknown,Rheinisch-Westfaelische Technische Hochschule Aachen,CEUR Workshop Proceedings,2018
82,Yazılım Mühendisliği Dersi için Geliştirilmiş Ders Akış Modeli ve İlgili Vaka Çalışması,"Murat Yilmaz, Ulas Gulec",Unknown,12th Turkish National Software Engineering Conference (UYMS 2018),Unknown,Unknown,2018
83,Yazılım Geliştirme Süreçlerini Eğitmek Amacıyla Tasarlanan Sanal Ofis Ortamında Ortamın Gerçekçiliğini Arttıran Etmenler,"Ulas Gulec, Murat Yilmaz, Veysi Isler",Unknown,12th Turkish National Software Engineering Conference (UYMS 2018),Unknown,Unknown,2018
84,Artırılmış Gerçeklik Tabanlı Sürekli İşe Alıştırma Sistemi (Augmented Reality Based Continuous Onboarding Framework),"Eray Ohri, Ipek and Oge, Irem and Orkun, Bora and Yilmaz, Murat and Tuzun",Unknown,12th Turkish National Software Engineering Conference (UYMS 2018),Unknown,Unknown,2018
85,An Exploratory Study to Assess Digital Map Zoom/Pan/Rotate Methods with HoloLens,"İsmail Kılınç, Murat Yilmaz",Unknown,Unknown,Unknown,Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi,2018
86,Software Process Improvement and Capability Determination Conference 2016,"Paul Clarke, Murat Yilmaz",Unknown,Unknown,Unknown,Elsevier Computer Standards & Interfaces,2017
87,Uygulama Yaşam Döngüsü Yönetim Araçlarının Verimini Arttırmak İçin Ciddi Oyun Uygulaması.,"Çağdaş Üsfekes, Murat Yilmaz, Eray Tüzün",Unknown,11th Turkish National Software Engineering Symposium (UYMS 2017),Unknown,Unknown,2017
88,Software Process Improvement and Capability Determination Conference 2016,"Paul Clarke, Murat Yilmaz",Unknown,Unknown,Elsevier,Computer Standards & Interfaces,2017
89,Bilgisayar Mühendisliği Bitirme Projeleri için Düşünülmüş Bir Süreç Yönetim Modeli,"Murat Yılmaz, Serdar Taşel, Ulaş Güleç, Uğur Sopaoğlu",Unknown,Unknown,Unknown,Proceedings of the 10th Turkish National Software Engineering Symposium,2016
90,Kitlesel Açık Çevrimiçi Kurslardaki Katılımcı Profillerinin Yapay Sinir Agı Kullanılarak Sınıflandırılması (Classification of Participants Profiles in MOOCs Using Neural …,"Ali Al-Taei, Murat Yilmaz, Rory O'Connor, Ugur Halici",Unknown,9th Turkish National Software Engineering Conference (UYMS 2015),Unknown,Unknown,2015
91,Kitlesel Açık Çevrimiçi Kurslardaki Katılımcı Profillerinin Yapay Sinir Ağı Kullanılarak Sınıflandırılması.,"Ali Al-Taei, Murat Yilmaz, Rory V O'Connor, Ugur Halici",Unknown,9th Turkish National Software Engineering Conference (UYMS 2015),Unknown,Unknown,2015
92,Futbol Hakemlerinin Karar Verme Yeteneklerini Geliştirmek İçin Düşünülmüş Ciddi Oyun Tabanlı Öğrenme Çatısı.,"Ulaş Güleç, Murat Yilmaz",Unknown,Ulusal Yazılım Mühendisliği Konferansı (UYMS 2015),Unknown,Unknown,2015
93,Investigating the factors affecting software development productivity by using exploratory factor analysis [in Turkish-Yazılım Geliştirme Üretkenliğini Etkileyen Faktörlerin …,"Murat Yilmaz, Rory O'Connor, Abdul Kadir Görür",Unknown,Unknown,Unknown,Unknown,2014
94,GelİŞlet (DevOps) İçin Ciddi Oyun Eklentisi Deneyimi,"Çağdaş ÜSFEKES, Yagup MACİT, Murat YILMAZ, Eray TÜZÜN",Unknown,Unknown,Unknown,Unknown,Unknown
