Title,Citation,Conference,Publisher,Journal,Date,Authors,AuthorDCU
Analysing dependability and performance of a real-world Elastic Search application,1,2019 9th Latin-American Symposium on Dependable Computing (LADC),IEEE,Unknown,2019,"Malika Bendechache, Ivanovitch Silva, Guto Leoni Santos, Luiz Affonso Guedes, Sergej Svorobej, Manuel Noya Mario, M Eduardo Ares, James Byrne, Patricia Takako Endo, Theo Lynn",Malika Bendechache
Osteolysis: A Literature Review of Basic Science and Potential Computer-Based Image Processing Detection Methods,Unknown,Unknown,Hindawi,Unknown,2021,"Soroush Baseri Saadi, Ramin Ranjbarzadeh, Amir Amirabadi, Saeid Jafarzadeh Ghoushchi, Oveis Kazemi, Sonya Azadikhah, Malika Bendechache",Malika Bendechache
Public attitudes towards privacy in COVID-19 times in the Republic of Ireland: A pilot study,Unknown,Unknown,Taylor & Francis,Information Security Journal: A Global Perspective,2021,"Malika Bendechache, Pintu Lohar, Guodong Xie, Rob Brennan, Ramona Trestian, Edoardo Celeste, Kristina Kapanova, Evgeniia Jayasekera, Irina Tal",Malika Bendechache
Privacy in times of COVID-19: a pilot study in the Republic of Ireland,Unknown,Unknown,Unknown,Unknown,2021,"Guodong Xie, Pintu Lohar, Claudia Florea, Malika Bendechache, Ramona Trestian, Rob Brennan, Regina Connolly, Irina Tal",Malika Bendechache
Privacy in a Time of COVID-19: How Concerned Are You?,Unknown,Unknown,IEEE,IEEE Security & Privacy,2021,"Ramona Trestian, Guodong Xie, Pintu Lohar, Edoardo Celeste, Malika Bendechache, Rob Brennan, Evgeniia Jayasekera, Regina Connolly, Irina Tal",Malika Bendechache
PRIVATT-a closer look at peopleâ€™s data privacy attitudes in times of COVID-19,Unknown,Unknown,IEEE,Unknown,2021,"Ramona Trestian, Guodong Xie, Pintu Lohar, Edoardo Celeste, Malika Bendechache, Rob Brennan, Irina Tal",Malika Bendechache
Incorporating User Preferences in Multi-objective Feature Selection in Software Product Lines Using Multi-Criteria Decision Analysis,Unknown,International Conference on Optimization and Learning,"Springer, Cham",Unknown,2021,"Takfarinas Saber, Malika Bendechache, Anthony Ventresque",Malika Bendechache
AUDD: Audio Urdu Digits Dataset for Automatic Audio Urdu Digit Recognition,Unknown,Unknown,Multidisciplinary Digital Publishing Institute,Applied Sciences,2021,"Aisha Aiman, Yao Shen, Malika Bendechache, Irum Inayat, Teerath Kumar",Malika Bendechache
é¦–é¡µÂ» æ–‡ç« Â» æ–‡ç« è¯¦ç»†ä¿¡æ¯,Unknown,Unknown,Unknown,Unknown,Unknown,"Ramin Ranjbarzadeh, Saeid Jafarzadeh Ghoushchi, Malika Bendechache, Amir Amirabadi, Mohd Nizam Ab Rahman, Soroush Baseri Saadi, Amirhossein Aghamohammadi, Mersedeh Kooshki Forooshani",Malika Bendechache
Urban enterprise: a review of smart city frameworks from an enterprise architecture perspective,23,2016 IEEE International Smart Cities Conference (ISC2),IEEE,Unknown,2016,"Aleksas Mamkaitis, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Cities as enterprises: a comparison of smart city frameworks based on enterprise architecture requirements,22,International conference on smart cities,"Springer, Cham",Unknown,2017,"Viviana Bastidas, Marija Bezbradica, Markus Helfert",Marija Bezbradica
A requirements framework for the design of smart city reference architectures,16,Unknown,Unknown,Unknown,2018,"Viviana Bastidas, Markus Helfert, Marija Bezbradica",Marija Bezbradica
Parallelisation strategies for large scale cellular automata frameworks in pharmaceutical modelling,13,2012 International Conference on High Performance Computing & Simulation (HPCS),IEEE,Unknown,2012,"Marija Bezbradica, Martin Crane, Heather J Ruskin",Marija Bezbradica
