Name1,Name2,Total_Paper_Count,Total_Citations_Achieved
352,974,2,4
352,554,2,25
9,352,5,9
352,598,4,7
28,352,5,32
352,838,1,0
352,359,1,25
102,352,1,25
352,522,1,25
18,352,1,25
352,1166,1,25
75,352,1,25
352,494,1,25
293,352,1,25
118,352,1,25
352,633,1,25
352,488,1,25
352,1134,1,25
352,360,1,25
352,879,3,4
263,352,1,1
352,1158,7,6
232,352,1,1
160,352,1,1
285,352,1,1
352,373,1,1
352,506,1,1
352,700,1,3
352,1034,1,3
352,743,1,3
126,352,1,3
30,352,1,3
352,857,1,3
352,709,1,3
352,585,1,3
352,523,1,3
352,1116,2,4
81,352,1,1
352,921,1,10
352,400,1,10
352,1127,1,0
342,352,1,1
280,352,1,9
352,659,1,9
352,907,2,4
338,352,2,4
352,965,1,0
352,574,1,0
352,1062,1,0
352,680,1,0
352,619,1,6
352,595,1,6
352,1024,1,6
169,352,1,6
1044,1118,1,0
451,1044,1,0
37,1044,1,0
1044,1049,1,2
1038,1044,1,2
630,1044,1,2
381,1044,1,2
924,1044,1,2
341,1044,1,2
1026,1044,1,2
453,1044,1,2
12,1044,1,2
52,1044,1,2
754,1044,1,2
868,1044,1,2
372,1044,1,2
326,1044,2,2
374,1044,3,3
818,1044,8,10
28,1044,2,2
256,1044,3,8
1044,1048,1,0
139,1044,1,0
786,1044,1,0
1044,1106,1,0
469,1044,3,1
603,1044,1,1
559,1044,1,1
1044,1178,1,2
830,1044,1,0
865,1044,1,0
640,1044,1,0
166,1044,1,0
0,1044,1,0
955,1044,1,0
954,1044,1,0
822,1044,1,0
150,1044,1,7
678,1044,1,7
336,1044,1,7
401,1001,5,5
513,1001,5,5
329,1001,7,5
470,1001,1,0
213,1001,1,0
476,1001,1,0
703,1001,1,0
773,1001,3,0
1001,1150,1,0
76,1001,1,0
1001,1099,1,0
861,1001,1,0
760,1001,1,0
24,1001,1,0
5,1001,1,0
825,1001,1,0
732,1001,1,0
928,1001,1,0
540,1001,1,0
668,1001,1,0
137,1001,1,0
370,1001,1,0
244,1001,1,0
694,1001,1,0
76,202,1,0
76,156,1,0
76,967,1,0
76,814,4,0
76,978,1,0
76,152,1,0
76,800,12,34
76,159,1,9
76,988,1,9
76,1008,1,1
76,206,1,1
76,941,1,1
76,733,1,1
76,1031,1,1
76,249,5,33
76,926,1,0
76,223,1,0
76,363,1,0
76,590,1,0
76,712,2,17
76,521,4,16
76,721,1,0
76,337,3,0
76,155,3,0
76,606,3,0
76,565,3,0
76,593,2,0
76,179,2,0
76,161,1,0
76,654,2,0
76,618,1,0
76,470,1,0
76,213,1,0
76,476,1,0
76,703,1,0
76,773,1,0
76,1150,1,0
76,1099,1,0
